quest_sleep_time_x,quest_sleep_quality_x,quest_sport_time_x,quest_meetings_x,quest_mood_x,quest_stress_x,bmr_kilocalories_x,steps_x,distance_in_meters_x,min_heart_rate_in_beats_per_minute_x,max_heart_rate_in_beats_per_minute_x,average_heart_rate_in_beats_per_minute_x,duration_in_seconds_x,awake_duration_in_seconds_x,sleep_start_hour_x,record_dates_count_x,screen_daily_count_x,screen_duration_avg_x,screen_duration_total_x,screen_threshold_x,still_ratio_x,bluetooth_distinct_names_x,screen_during_night_count_x,quest_sleep_time_y,quest_sleep_quality_y,quest_sport_time_y,quest_meetings_y,quest_mood_y,quest_stress_y,bmr_kilocalories_y,steps_y,distance_in_meters_y,min_heart_rate_in_beats_per_minute_y,max_heart_rate_in_beats_per_minute_y,average_heart_rate_in_beats_per_minute_y,duration_in_seconds_y,awake_duration_in_seconds_y,sleep_start_hour_y,record_dates_count_y,screen_daily_count_y,screen_duration_avg_y,screen_duration_total_y,screen_threshold_y,still_ratio_y,bluetooth_distinct_names_y,screen_during_night_count_y,quest_sleep_time_z,quest_sleep_quality_z,quest_sport_time_z,quest_meetings_z,quest_mood_z,quest_stress_z,bmr_kilocalories_z,steps_z,distance_in_meters_z,min_heart_rate_in_beats_per_minute_z,max_heart_rate_in_beats_per_minute_z,average_heart_rate_in_beats_per_minute_z,duration_in_seconds_z,awake_duration_in_seconds_z,sleep_start_hour_z,record_dates_count_z,screen_daily_count_z,screen_duration_avg_z,screen_duration_total_z,screen_threshold_z,still_ratio_z,bluetooth_distinct_names_z,screen_during_night_count_z,quest_sleep_time_w,quest_sleep_quality_w,quest_sport_time_w,quest_meetings_w,quest_mood_w,quest_stress_w,bmr_kilocalories_w,steps_w,distance_in_meters_w,min_heart_rate_in_beats_per_minute_w,max_heart_rate_in_beats_per_minute_w,average_heart_rate_in_beats_per_minute_w,duration_in_seconds_w,awake_duration_in_seconds_w,sleep_start_hour_w,record_dates_count_w,screen_daily_count_w,screen_duration_avg_w,screen_duration_total_w,screen_threshold_w,still_ratio_w,bluetooth_distinct_names_w,screen_during_night_count_w,risk_group
6.753968254,0.849206349,22.42063492,6.626984127,0.547619048,0,1368,4740.5,3101.5,53.92857143,123.2857143,70.21428571,24713.33333,890.4761905,23.26613757,95.92857143,52.42857143,164.2767788,8538.214286,10,0.946342419,36.92857143,13,7.078571429,0.142857143,21.42857143,5.785714286,0,0,1368,5588.346939,3641.642857,53.63265306,108.0306122,69.04081633,25427.7551,1116.122449,23.00153061,96,72.95918367,139.1288812,9252.030612,19.18367347,0.936330782,42.63265306,15.43877551,6.607142857,0.785714286,14.64285714,7.714285714,0.785714286,0,1368,4713.357143,3153.428571,55,114.8571429,70.21428571,23828.57143,981.4285714,23.01547619,95.85714286,84.28571429,144.3714348,8897.142857,40.64285714,0.942614348,70.78571429,35.92857143,7.004761905,0.920634921,21.98412698,6.015873016,0.746031746,-0.079365079,1368,4874.706349,3222.674603,55.24603175,111.547619,70.15079365,25964.28571,904.2857143,22.78015873,95.92857143,74.91269841,131.4758707,9087.785714,20.33333333,0.956558062,31.19047619,18.49206349,low
7.385714286,0.489795918,31.8707483,4.795918367,1.197278912,-0.693877551,1481,6566.571429,4328.857143,54.78571429,115.2857143,74.85714286,24930,638.5714286,23.16904762,89.14285714,39.5,902.1890844,31318.07143,3.531746032,0.904204242,49.64285714,8.714285714,7.483333333,0.857142857,31.66666667,6.142857143,0.857142857,-0.476190476,1481,6669.040816,4373.765306,54.65306122,112.9081633,73.30612245,25934.28571,820,23.48888889,95.89795918,35.29591837,915.5086553,27734.18367,2.452380952,0.913947816,54.85714286,8.520408163,6.778571429,-0.047619048,25.95238095,9.642857143,-0.047619048,-0.095238095,1481,6293.214286,4115.571429,55.35714286,113.7142857,74,25137.14286,995.7142857,23.47539683,92.35714286,40.28571429,557.4679186,21110.21429,2.551020408,0.874124033,33.42857143,8.071428571,6.702380952,0.571428571,50.35714286,7.238095238,0.571428571,-0.547619048,1397.507937,7125.960317,4661.626984,58.15873016,112.8095238,75.38095238,25621.42857,412.8571429,23.42539683,86.74603175,37.84126984,560.2191816,19229.46825,2.738095238,0.840138824,55.21428571,8.650793651,low
6.642857143,1.761904762,1.428571429,16.66666667,2,-2,,,,,,,,,,71.07142857,90.28571429,332.8695087,27799.07143,2,0.71606156,84.78571429,23.14285714,,,,,,,,,,,,,,,,66.44897959,84.90816327,343.4413746,26811.82653,3.071428571,0.736511254,98.66326531,19.44897959,,,,,,,,,,,,,,,,79.71428571,79.14285714,356.525496,26172.07143,3.484126984,0.746741489,104.4285714,16.64285714,,,,,,,,,,,,,,,,59.14285714,93.8015873,333.764559,29977.38095,3.244897959,0.764026445,112.8571429,19.95238095,low
,,,,,,1586,7317.428571,4893.357143,49.85714286,103.9285714,64.71428571,23206.66667,394.2857143,23.5755291,76,80.07142857,142.0899546,10305.78571,31.28571429,0.907669971,20.80357143,16.64285714,,,,,,,1560.857143,8436.607143,5687.071429,48.42857143,107.5714286,68.75,21974.28571,963.5714286,23.84146825,63.30612245,80.05102041,145.3432671,10020.2551,31.42857143,0.929237355,6.714285714,15.37755102,,,,,,,,,,,,,,,,83.64285714,77.21428571,145.576338,9353.357143,36.14285714,0.861433498,21.16666667,19.92857143,6.428571429,0.142857143,15,30.71428571,0.285714286,0,1586,7412.619048,4843.936508,49.95238095,99.52380952,65.55555556,22195.2381,385.7142857,23.92830688,78.6031746,69.0952381,119.1498271,7341.293651,30.8968254,0.900237045,15.10714286,16.19047619,high
,,,,,,1569.571429,766.2857143,537.8571429,56.14285714,102.8571429,68.28571429,10311.42857,981.4285714,29.37142857,,,,,,,,,,,,,,,1503,1067.591837,744.5612245,58.69387755,106.8061224,69.2755102,17566.12245,3828.979592,25.261678,,,,,,,,,5.142857143,0,,11.71428571,0,0,1503,1643.357143,1190.357143,58.42857143,108.5714286,70.71428571,19455.71429,3570.952381,26.28399471,,,,,,,,,5.238095238,0,10,4.571428571,0,0,1503,1517.944444,933.4444444,57.46428571,111.6964286,70.60714286,19090,2678.571429,25.9952381,,,,,,,,,low
6.761904762,0.476190476,99.76190476,21.76190476,0.238095238,-0.476190476,1390,10394.92857,6920,54.42857143,115.5,72.85714286,,,,86.64285714,120.2142857,299.8020027,18673.78571,73.35714286,0.796353298,,38.64285714,6.394557823,0.700680272,130.8843537,20,0.496598639,-0.795918367,1390,9975.295918,6558.836735,54.10204082,113.7755102,72.17346939,,,,91.83673469,88.89795918,230.5440712,15813.13265,46.40816327,0.869894319,6,33.18367347,5.642857143,0.761904762,50.85714286,22.38095238,0.642857143,-0.523809524,1390,8460.285714,5272.714286,53.92857143,113.7857143,72.57142857,,,,83.44642857,76.80357143,197.0859891,11559.80357,36.89285714,0.84501354,,18.54081633,6,0.428571429,67.14285714,27.42857143,0.285714286,-0.428571429,1390,8486.825397,5403.063492,53.32539683,114.6111111,73.07936508,25680,622.8571429,23.71666667,83.56349206,101.7777778,168.8499917,13083.72222,63.00793651,0.855490329,3.714285714,46.28571429,low
,,,,,,1032.375,5907.785714,25993.80357,,,,,,,,,,,,,,,,,,,,,1007.333333,6565,22938.33333,,,,,,,,,,,,,,,,,,,,,1032.126984,5228.333333,27363.06349,,,,,,,,,,,,,,,,,,,,,1021.103175,5168.65873,27175.95238,,,,,,,,,,,,,,,medium
5.357142857,0.357142857,17.85714286,33.92857143,0.642857143,-0.642857143,1732,6850.428571,4836.142857,48.79365079,122.6984127,70.15873016,21352.85714,715.7142857,24.50912698,76.57142857,242.0714286,110.4150318,20596.85714,188.0714286,0.731554104,2.428571429,51.07142857,,,,,,,1714.755102,6187.030612,4323.561224,50.42857143,115.7142857,69.42857143,21174.28571,274.2857143,25.13095238,92.40816327,371.8163265,69.62100075,23962.96939,303.1020408,0.809439655,,63.40136054,,,,,,,1732,5736.642857,4068,53.64285714,111.7142857,72.5,27018.21429,881.7857143,25.07589286,94.5,243.5,92.11555763,19644,182.8571429,0.796665206,,31.71428571,7.047619048,0,60.47619048,6.19047619,0.523809524,-0.476190476,1732,5300.785714,3928.634921,60.42857143,80.57142857,67.42857143,28997.14286,408.5714286,24.48888889,80.62244898,199.5408163,113.6528617,18865.04082,150.2244898,0.8763872,1,38.54761905,low
7,1,0,6,1.464285714,-1.642857143,1551,4485.142857,3257.571429,57.85714286,121,77.07142857,24888.21429,378.2142857,25.06339286,84.5,42.85714286,373.4620412,15053.28571,21.71428571,0.935766808,134.2142857,9.333333333,6.047619048,0.761904762,8.571428571,7.285714286,1.761904762,-1.523809524,1407.571429,3770.632653,2739.346939,54.97619048,113.047619,72.5952381,,,,78.52380952,54.46938776,340.5806223,17820.16327,30.44897959,0.90465137,174,12.7755102,6.285714286,1.285714286,0,6,2,-1.642857143,1435.081633,5670.928571,4132.408163,58.1122449,117.5408163,78.07142857,26095.71429,775.7142857,24.52857143,86.16666667,48.71428571,418.9508989,18370.5,26.28571429,0.917158838,162.984127,10.64285714,6.642857143,1.357142857,0,4.714285714,2,-1.642857143,1472.428571,4190.64881,3043.059524,57.93452381,120.0357143,75.55357143,27993.21429,233.5714286,25.2264881,49.14285714,52.04761905,438.3368827,19850.6746,23.75396825,0.934842316,123.5714286,8.111111111,low
5.714285714,0.142857143,21.42857143,3.142857143,0.714285714,-0.857142857,1546,8543.928571,5516.714286,55.21428571,122.7857143,76.42857143,22215,1352.142857,24.50208333,85,114.1428571,175.1104931,18486.42857,42.57142857,0.891611987,66.61111111,23.92857143,4.785714286,1,0,3.142857143,1,-1,1546,5163.173469,3280.846939,54.46938776,114.244898,73.06802721,20891.42857,2418.571429,24.67142857,83.63265306,146.4387755,164.2758685,22830.03061,53.43877551,0.893352251,63.09183673,33.85714286,4.952380952,0.523809524,64.28571429,5.047619048,1,-0.761904762,1546,7903.071429,5058.571429,52.14285714,121.5,73.21428571,24356.78571,1896.071429,23.53670635,83.71428571,113.6428571,197.9787605,20296,42.57142857,0.87753083,99.43650794,21.85714286,6.476190476,1,38.92857143,5.166666667,1,-1,1546,9357.428571,6025.563492,53.49206349,121.547619,76.00793651,24292.5,1326.428571,23.70446429,93.6031746,128.3492063,154.9447586,17921.92063,56.05555556,0.883812954,80.05555556,27.94444444,medium
